"X2.house.age","X3.distance.to.the.nearest.MRT.station","X4.number.of.convenience.stores","X5.latitude","X6.longitude","y"
12,1360.139,1,24.95204,121.5484,28.9
3.5,49.66105,8,24.95836,121.5376,57.8
8.5,104.8101,5,24.96674,121.5407,55.5
27.6,515.1122,5,24.96299,121.5432,37.4
30.2,472.1745,3,24.97005,121.5376,36.5
11.6,201.8939,8,24.98489,121.5412,55.9
17,4082.015,0,24.94155,121.5038,18.8
8.9,3078.176,0,24.95464,121.5663,22
16.3,4066.587,0,24.94297,121.5034,20.5
34,157.6052,7,24.96628,121.542,39.1
13.1,561.9845,5,24.98746,121.5439,45.9
38.3,642.6985,3,24.97559,121.5371,31.5
15.6,289.3248,5,24.98203,121.5435,46.1
11.5,1360.139,1,24.95204,121.5484,26.2
0,274.0144,1,24.9748,121.5306,43.5
17.6,1805.665,2,24.98672,121.5209,31.1
13.6,492.2313,5,24.96515,121.5374,43.8
9.1,1402.016,0,24.98569,121.5276,42.3
11.9,3171.329,0,25.00115,121.5178,46.6
3.6,373.8389,10,24.98322,121.5377,61.9
13,732.8528,0,24.97668,121.5252,39
12.8,732.8528,0,24.97668,121.5252,40.6
11,1712.632,2,24.96412,121.5167,28.8
4.8,1559.827,3,24.97213,121.5163,21.7
18,6306.153,1,24.95743,121.4752,15
39.2,424.7132,7,24.97429,121.5392,30
5.9,90.45606,9,24.97433,121.5431,52.7
1.1,329.9747,5,24.98254,121.544,51.8
0,292.9978,6,24.97744,121.5446,63.3
16.2,2288.011,3,24.95885,121.5136,24.4
17.6,837.7233,0,24.96334,121.5477,23
13,492.2313,5,24.96515,121.5374,40.5
1.5,23.38284,7,24.96772,121.541,49.7
0,208.3905,6,24.95618,121.5384,44
2.6,1554.25,3,24.97026,121.5164,31.1
2,1455.798,1,24.9512,121.549,25.6
15,383.2805,7,24.96735,121.5446,34.4
12.6,383.2805,7,24.96735,121.5446,42.5
26.4,335.5273,6,24.9796,121.5414,38.1
2.5,156.2442,4,24.96696,121.5399,36.9
16.2,289.3248,5,24.98203,121.5435,55
10.3,3079.89,0,24.9546,121.5663,24.7
16.4,289.3248,5,24.98203,121.5435,53
15.6,1756.411,2,24.9832,121.5181,27.3
7.1,379.5575,10,24.98343,121.5376,49.8
13.5,4197.349,0,24.93885,121.5038,18.6
16.9,964.7496,4,24.98872,121.5341,37.7
28.6,197.1338,6,24.97631,121.5444,42.5
12.4,1712.632,2,24.96412,121.5167,31.3
15.9,1497.713,3,24.97003,121.517,23.6
13.6,4197.349,0,24.93885,121.5038,19.2
32,1156.777,0,24.94935,121.5305,12.8
27.3,337.6016,6,24.96431,121.5406,36.5
1.7,329.9747,5,24.98254,121.544,50.4
33.6,270.8895,0,24.97281,121.5327,42.9
12.2,1360.139,1,24.95204,121.5484,30.1
1.1,193.5845,6,24.96571,121.5409,45.1
17.1,967.4,4,24.98872,121.5341,40
15,1828.319,2,24.96464,121.5153,20.9
20.2,2185.128,3,24.96322,121.5124,22.8
4.1,312.8963,5,24.95591,121.5396,51.7
5.4,390.5684,5,24.97937,121.5425,49.5
14.1,289.3248,5,24.98203,121.5435,53.3
16.9,967.4,4,24.98872,121.5341,40.3
32.6,4136.271,1,24.95544,121.4963,24.7
37.1,918.6357,1,24.97198,121.5506,31.9
14.7,1717.193,2,24.96447,121.5165,23
7.6,2175.03,3,24.96305,121.5125,27.7
30.9,161.942,9,24.98353,121.5397,39.7
16.4,289.3248,5,24.98203,121.5435,41.2
23,130.9945,6,24.95663,121.5377,37.2
1.9,372.1386,7,24.97293,121.5403,40.5
18.5,2175.744,3,24.9633,121.5124,28.1
5.6,90.45606,9,24.97433,121.5431,50
18.8,390.9696,7,24.97923,121.5399,40.6
6.5,90.45606,9,24.97433,121.5431,63.9
