"V1","V2","V4","V5","V6","y"
20.23,42.683,2.193,1.96,1.02,4.038
26.02,32.897,1.859,1.908,0.917,5.312
0,0,1.364,1.155,0.576,2.659
20.23,42.683,3.617,2.074,0.34,5.76
20.23,42.683,3.617,2.074,0.34,5.61
0,0,4.366,2.031,0.57,5.55
126.44,152.848,-0.172,2.629,1.025,3.839
26.02,32.897,2.127,1.908,0.597,5.19
39.44,45.652,4.332,4.121,1.12,8.164
37.3,67.828,1.667,2.031,0.867,4.462
46.53,78.828,2.378,2.472,0.988,3.474
116.67,180.366,-1.96,2.021,1.83,3.908
58.92,107.366,-0.937,2.299,1.936,0.46
56.15,36.022,3.112,2.997,0.701,3.531
105.86,19.91,0.623,2.116,0.508,5.922
0,0,5.165,3.111,0.732,6.219
13.14,9.507,2.859,2.614,0.827,4.995
