"Cement..component.1..kg.in.a.m.3.mixture.","Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.","Fly.Ash..component.3..kg.in.a.m.3.mixture.","Water...component.4..kg.in.a.m.3.mixture.","Superplasticizer..component.5..kg.in.a.m.3.mixture.","Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.","Fine.Aggregate..component.7..kg.in.a.m.3.mixture.","Age..day.","y"
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
300,0,0,184,0,1075,795,7,15.58
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
158,0,195,220,11,898,713,28,8.54
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
238.1,0,94.1,186.7,7,949.9,847,100,44.3
424,22,132,168,8.9,822,750,56,74.36
146,230,0,202,3,827,872,28,33.06
212,141.3,0,203.5,0,973.4,750,90,39.7
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
439,177,0,186,11.1,884.9,707.9,91,73.3
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
281,0,0,186,0,1104,774,28,22.44
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
342,38,0,228,0,932,670,90,50.46
255,0,0,192,0,889.8,945,90,21.86
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
314,145,113,179,8,869,690,28,46.23
275,180,120,162,10.4,830,765,28,76.24
153,239,0,200,6,1002,684,28,26.86
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
326,166,0,174,9,882,790,28,61.23
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
376,0,0,214.6,0,1003.5,762.4,56,36.3
387,20,94,157,11.6,938,845,28,46.68
480,0,0,192,0,936,721,3,24.39
540,0,0,173,0,1125,613,7,52.61
307,0,0,193,0,968,812,90,32.92
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
385,0,136,158,20,903,768,28,55.55
266,114,0,228,0,932,670,365,52.91
167,187,195,185,7,898,636,28,23.89
153,102,0,192,0,888,943.1,90,26.32
300,0,120,212,10,878,728,28,23.84
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
424,22,132,178,8.5,822,750,56,65.7
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
273,105,82,210,9,904,680,28,37.17
139.6,209.4,0,192,0,1047,806.9,7,14.59
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
525,0,0,189,0,1125,613,180,61.92
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
157,236,0,192,0,935.4,781.2,7,16.89
342,38,0,228,0,932,670,365,56.14
255,0,0,192,0,889.8,945,3,8.2
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
310,142.8,0,167.9,10,914.3,804,28,45.3
212,0,124.8,159,7.8,1085.4,799.5,14,31.35
254,0,0,198,0,968,863,365,29.79
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
349,0,0,192,0,1056,809,28,33.61
350,0,0,203,0,974,775,28,27.34
184,86,190,213,6,923,623,28,22.93
376,0,0,214.6,0,1003.5,762.4,28,31.97
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
322,0,0,203,0,974,800,180,29.59
349,0,0,192,0,1047,806,28,32.72
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
266,114,0,228,0,932,670,90,47.03
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
237.5,237.5,0,228,0,932,594,365,39
298,137,107,201,6,878,655,28,53.52
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
350,0,0,203,0,974,775,14,22.53
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
359,19,141,154,10.9,942,801,7,38.61
252,0,0,185,0,1111,784,7,13.71
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
277,116.8,91,190.6,7,946.5,665.6,28,43.58
380,95,0,228,0,932,594,180,40.76
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
307,0,0,193,0,968,812,28,27.53
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
266,114,0,228,0,932,670,28,45.85
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
318,0,126,210,6,861,737,28,40.06
149,236,0,176,13,847,893,28,32.96
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
135,105,193,196,6,965,643,28,21.91
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
522,0,0,146,0,896,896,28,74.99
480,0,0,192,0,936.2,712.2,90,54.32
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
331,0,0,192,0,1025,821,7,17.44
159,187,0,176,11,990,789,28,32.76
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
336,0,0,182,3,986,817,28,44.86
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
439,177,0,186,11.1,884.9,707.9,56,71.7
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
287,121,94,188,9,904,696,28,41.94
446,24,79,162,11.6,967,712,7,52.01
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
284,15,141,179,5.5,842,801,28,43.73
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
148,0,182,181,15,839,884,28,15.52
385,0,0,186,0,966,763,1,6.27
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
310,0,0,192,0,970,850,7,14.99
305.3,203.5,0,203.5,0,965.4,631,90,54.6
375,93.8,0,126.6,23.4,852.1,992.6,3,29
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
142,167,130,174,11,883,785,28,44.61
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
385,0,0,186,0,966,763,28,31.35
475,0,59,142,1.9,1098,641,28,57.23
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
400,0,0,187,0,1025,745,7,30.14
350,0,0,203,0,974,775,7,18.13
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
349,0,0,192,0,1056,809,3,15.87
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
310,0,0,192,0,1012,830,7,17.24
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
425,106.3,0,151.4,18.6,936,803.7,91,66.7
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
102,153,0,192,0,887,942,90,25.46
108.3,162.4,0,203.5,0,938.2,849,7,7.72
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
339,0,0,185,0,1069,754,28,31.84
387,20,94,157,14.3,938,845,7,36.84
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
144,170,133,192,8,814,805,28,29.87
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
332.5,142.5,0,228,0,932,594,28,33.02
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
295,0,0,185,0,1069,769,7,14.8
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
540,0,0,162,2.5,1055,676,28,61.89
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
424,22,132,168,8.9,822,750,3,32.11
173,116,0,192,0,946.8,856.8,90,32.1
359,19,141,154,10.9,942,801,3,25.12
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
331,0,0,192,0,978,825,360,41.24
376,0,0,214.6,0,1003.5,762.4,3,16.28
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
153,145,113,178,8,1002,689,28,25.56
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
192,288,0,192,0,929.8,716.1,28,39.32
322,0,0,203,0,974,800,14,20.77
520,0,0,175,5.2,870,805,28,51.02
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
366,187,0,191,7,824,757,28,65.91
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
366,187,0,191.3,6.6,824.3,756.9,28,65.91
491,26,123,201,3.9,822,699,28,57.92
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
475,0,0,228,0,932,594,365,41.93
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
236,0,0,194,0,968,885,3,6.47
192,288,0,192,0,929.8,716.1,90,50.73
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
136,196,98,199,6,847,783,28,26.97
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
133,210,0,196,3,949,795,28,31.03
305.3,203.5,0,203.5,0,965.4,631,3,14.14
540,0,0,173,0,1125,613,180,71.62
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
146,173,0,182,3,986,817,28,23.74
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
332.5,142.5,0,228,0,932,594,270,40.27
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
491,26,123,210,3.9,882,699,3,25.61
116,173,0,192,0,909.8,891.9,90,31.02
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
254,0,0,198,0,968,863,180,27.63
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
116,173,0,192,0,909.8,891.9,3,6.28
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
446,24,79,162,11.6,967,712,28,44.42
153,145,113,178,8,867,824,28,26.23
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
333,0,0,192,0,931.2,842.6,3,15.62
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
331,0,0,192,0,1025,821,28,31.74
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
183.9,122.6,0,203.5,0,959.2,800,28,24.05
162,214,164,202,10,820,680,28,30.65
387,20,94,157,13.9,938,845,3,25.51
389.9,189,0,145.9,22,944.7,755.8,3,40.6
275,0,0,183,0,1088,808,28,24.5
277,0,0,191,0,968,856,90,31.25
380,0,0,228,0,932,670,90,52.91
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
145,116,119,184,5.7,833,880,28,29.16
304,76,0,228,0,932,670,270,54.38
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
296,0,0,186,0,1090,769,7,18.91
173,116,0,192,0,946.8,856.8,7,11.39
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
305,0,100,196,10,959,705,28,30.12
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
355,19,97,145,13.1,967,871,28,44.03
280,129,100,172,9,825,805,28,52.82
198.6,132.4,0,192,0,978.4,825.5,360,44.3
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
237.5,237.5,0,228,0,932,594,180,36.25
190,190,0,228,0,932,670,180,46.93
325,0,0,184,0,1063,783,7,17.54
190,190,0,228,0,932,670,270,50.66
522,0,0,146,0,896,896,7,50.51
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
238.1,0,94.1,186.7,7,949.9,847,3,19.93
446,24,79,162,11.6,967,712,3,23.35
139.6,209.4,0,192,0,1047,806.9,360,44.7
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
296,0,0,186,0,1090,769,28,25.18
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
326,0,138,199,11,801,792,28,40.68
149,153,194,192,8,935,623,28,24.58
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
277,0,0,191,0,968,856,180,32.33
389.9,189,0,145.9,22,944.7,755.8,56,79.4
331,0,0,192,0,1025,821,120,39.38
203.5,305.3,0,203.5,0,963.4,630,3,9.56
203.5,305.3,0,203.5,0,963.4,630,90,51.86
133,200,0,192,0,927.4,839.2,3,6.88
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
250,0,0,182,0,1100,820,28,20.87
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
141.3,212,0,203.5,0,971.8,748.5,7,10.39
500,0,0,151,9,1033,655,28,69.84
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
190,190,0,228,0,932,670,90,42.33
152,178,139,168,18,944,695,28,36.35
157,236,0,192,0,935.4,781.2,3,9.69
316.1,210.7,0,185.7,0,977,689.3,28,38.7
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
154,144,112,220,10,923,658,28,16.5
516,0,0,162,8.2,801,802,28,41.37
375,0,0,186,0,1038,758,7,26.06
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
228,342.1,0,185.7,0,955.8,674.3,7,21.92
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
540,0,0,162,2.5,1040,676,28,79.99
296,0,0,192,0,1085,765,28,21.65
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
151,0,184,167,12,991,772,28,15.57
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
321,164,0,190,5,870,774,28,57.21
312.7,0,0,178.1,8,999.7,822.2,28,25.1
198.6,132.4,0,192,0,978.4,825.5,180,41.72
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
349,0,0,192,0,1056,809,7,9.01
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
310,0,0,192,0,970,850,360,38.11
475,0,0,228,0,932,594,28,39.29
500,0,0,200,0,1125,613,14,36.94
288,192,0,192,0,932,717.8,3,16.11
202,11,141,206,1.7,942,801,56,23.25
275,0,0,183,0,1088,808,7,14.2
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
277,117,91,191,7,946,666,28,43.57
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
380,95,0,228,0,932,594,270,41.15
295,0,0,185,0,1069,769,28,25.18
393,0,0,192,0,940.6,785.6,7,27.74
439,177,0,186,11.1,884.9,707.9,7,56.1
203.5,305.3,0,203.5,0,963.4,630,7,19.54
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
296,0,0,192,0,1085,765,7,14.2
160,250,0,168,12,1049,688,28,39.45
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
385,0,0,186,0,966,763,14,27.92
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
520,0,0,170,5.2,855,855,28,60.28
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
149,139,109,193,6,892,780,28,23.69
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
147,115,89,202,9,860,829,28,19.99
310,0,0,192,0,970,850,90,34.68
252.5,0,0,185.7,0,1111.6,784.3,28,19.77
491,26,123,210,3.9,882,699,28,55.55
250,0,0,182,0,1100,820,7,12.73
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
339,0,0,197,0,968,781,180,36.45
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
339,0,0,197,0,968,781,28,32.04
236,157,0,192,0,972.6,749.1,3,13.57
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
350,0,0,203,0,974,775,90,31.35
380,0,0,228,0,932,670,270,53.3
148,175,0,171,2,1000,828,28,26.92
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
252,0,0,185,0,1111,784,28,19.69
252,97,76,194,8,835,821,28,33.4
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
425,106.3,0,151.4,18.6,936,803.7,7,46.8
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
298,0,107,186,6,879,815,28,42.64
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
302,0,0,203,0,974,817,180,26.74
446,24,79,162,11.6,967,712,56,61.07
349,0,0,192,0,1047,806,3,14.99
359,19,141,154,10.9,942,801,3,23.64
500,0,0,200,0,1125,613,90,47.22
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
475,0,0,228,0,932,594,270,42.13
281,0,0,186,0,1104,774,7,14.5
102,153,0,192,0,887,942,28,17.28
393,0,0,192,0,940.6,785.6,28,39.6
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
186.2,124.1,0,185.7,0,1083.4,764.3,7,8
108.3,162.4,0,203.5,0,938.2,849,3,2.33
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
359,19,141,154,10.9,942,801,28,59.49
133,200,0,192,0,927.4,839.2,90,36.59
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
136,162,126,172,10,923,764,28,29.07
380,95,0,228,0,932,594,365,43.7
220.8,147.2,0,185.7,0,1055,744.3,7,13.09
321.3,164.2,0,190.5,4.6,870,774,28,57.22
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
322,0,0,203,0,974,800,28,25.18
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
382,0,0,186,0,1111,784,7,11.47
339,0,0,197,0,968,781,14,27.04
387,20,94,157,11.6,938,845,56,61.46
141.3,212,0,203.5,0,971.8,748.5,90,39.66
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
397,0,0,185.7,0,1040.6,734.3,7,25.45
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
387,20,94,157,14.3,938,845,56,56.34
116,173,0,192,0,909.8,891.9,28,22.35
190,190,0,228,0,932,670,365,53.69
261,100,78,201,9,864,761,28,32.4
173,116,0,192,0,946.8,856.8,28,24.28
332.5,142.5,0,228,0,932,594,7,30.28
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
439,177,0,186,11.1,884.9,707.9,28,66
237.5,237.5,0,228,0,932,594,28,30.08
297,0,0,186,0,1040,734,7,30.96
393,0,0,192,0,940,758,90,48.79
359,19,141,154,10.9,942,801,7,35.75
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
380,95,0,228,0,932,594,7,32.82
500,0,0,140,4,966,853,28,67.57
212,141.3,0,203.5,0,973.4,750,3,6.81
116,173,0,192,0,909.8,891.9,7,10.09
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
446,24,79,162,11.6,967,712,56,55.25
475,0,0,228,0,932,594,7,38.6
305.3,203.5,0,203.5,0,965.4,631,7,25.89
238,0,0,186,0,1119,789,7,12.05
349,0,0,192,0,1047,806,7,18.13
333,0,0,192,0,931.2,842.6,7,23.4
236,0,0,194,0,968,885,90,21.95
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
528,0,0,185,6.9,920,720,28,56.83
284,15,141,179,5.5,842,801,7,24.13
427.5,47.5,0,228,0,932,594,180,41.84
491,26,123,210,3.9,882,699,56,59.59
200,133,0,192,0,965.4,806.2,3,11.41
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
540,0,0,173,0,1125,613,270,74.17
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
149,118,92,183,7,953,780,28,23.52
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
322,149,0,186,8,951,709,28,52.42
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
139.6,209.4,0,192,0,1047,806.9,90,39.36
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
288,121,0,177,7,908,829,28,42.13
231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
475,0,0,162,9.5,1044,662,28,58.52
446,24,79,162,11.6,967,712,7,39.3
162,207,172,216,10,822,638,28,39.84
145,0,179,202,8,824,869,28,10.54
266,114,0,228,0,932,670,180,48.7
446,24,79,162,11.6,967,712,3,25.02
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
140,133,103,200,7,916,753,28,36.44
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
238.1,0,94.1,186.7,7,949.9,847,14,25.69
315,137,0,145,5.9,1130,745,28,81.75
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
277,0,0,191,0,968,856,3,11.36
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
202,11,141,206,1.7,942,801,7,15.07
540,0,0,173,0,1125,613,3,41.64
349,0,0,192,0,1047,806,360,42.13
424,22,132,178,8.5,882,750,3,32.01
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
332.5,142.5,0,228,0,932,594,365,41.05
157,236,0,192,0,935.4,781.2,90,43.38
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
