"AT","V","AP","RH","y"
15.25,52.9,1014.86,76.87,463.93
33.43,69.88,1006.86,44.84,435.59
13.85,45.08,1024.86,83.85,468.35
24.55,67.07,1005.66,63.58,443.39
17.88,46.97,1013.73,67.78,456.77
28.32,47.93,1003.26,54.5,439.5
31.03,69.98,1011.33,52.16,436.13
24.64,58.49,1011.2,72.67,444.95
18.84,67.32,1012.63,81.89,449.21
13.03,39.52,1016.68,83.09,473.99
22.69,65.12,1016.35,72.02,446.91
15.09,39.52,1017.05,72.43,469.8
29.08,70.83,1007.98,51.95,430.91
12.95,43.71,1025.63,90.7,469.15
10.12,39.96,1025.98,98.63,471.6
16.7,50.66,1014.86,94.87,457.74
13.77,41.58,1020.63,72.94,459.75
19.1,56.53,1020.18,76.38,455.52
10.02,39.82,1012.86,89.47,482.47
21.71,76.86,1006.71,76.86,438.41
19.44,59.21,1018.5,88.35,448.04
20.76,58.79,1017.22,78.75,447.07
7.48,38.5,1014.01,77.35,488.43
26.94,73.21,1002.83,91.25,431.19
10.89,40.81,1025.82,81.18,478.23
20.17,56.03,1019.47,56.77,458.04
22.1,74.87,1009.4,85.78,442.83
23.63,58.62,1016.45,69.97,445.51
5.89,39.48,1005.11,59.83,484.91
14.39,44.21,1019.77,85.7,465.03
27.52,66.48,1004.99,52.54,429.67
23.36,56.89,1014.23,78.34,440.51
29.58,66.51,1015.57,32.95,435.47
14.48,38.92,1015.6,90.05,470.63
13.41,49.83,1008.83,87.14,466.38
34.97,73.56,1006.57,44.69,435.15
22.85,59.15,1014.74,63.92,448.61
23.67,72.24,1011.22,90.45,435.94
14.04,39.64,1011.09,87.22,472.31
10.33,43.99,1020.7,96.68,474.17
17.74,44.2,1018.87,58.59,454.37
26.94,62.91,1011.68,41.3,449.1
25.21,60.37,1006.01,73.14,436.23
29.39,69.89,1013.92,47.36,434.27
17.93,44.63,1003.54,87.41,458.96
22.41,66.56,1003.3,88.71,435.75
32.18,65.74,1010.89,46.52,435.58
14.65,39.28,1014.04,77.98,470.41
19.64,56.53,1019.6,76.19,447.66
10.14,42.02,1003.19,96.51,472.17
11.02,38.28,1013.51,95.66,472.11
15.34,36.99,1007.87,94.59,464.58
14.13,48.92,1011.72,78.06,464.17
6.75,39.9,1008.3,87.42,484.05
24.79,59.21,1017.9,53.83,446.04
25.99,71.32,1007.17,83.23,432.41
13.92,41.16,1000.98,83.89,454.15
17.19,58.86,1016.74,85.97,451.87
15.89,38.73,1001.45,74.37,465.76
24.65,72.43,1007.99,90.05,437.59
23.39,64.63,1020.45,58.22,449.27
25.11,62.26,1011.12,78.01,434.97
30.28,67.22,1014.39,53.32,447.67
28.95,66.75,1018.22,60.48,432.39
7.98,40.77,1008.69,98.65,480.72
8.66,40.11,1032.86,75.31,479.76
19.3,56.65,1020.55,70.43,459.1
25.6,66.48,1006.16,69.34,435.12
13.06,44.2,1018.95,85.68,469.02
14.14,39.59,1010.84,96.02,465.23
11.61,41.17,1019.57,58.82,476.81
30.36,74.87,1008.96,61.87,435.31
3.73,39.42,1024.4,82.42,488.58
19.18,50.12,1005.99,100.09,444.56
30.9,73.42,1011.21,65.32,433.44
24.21,71.77,1004.52,84.96,433.42
22.33,70.79,1006.02,93.35,436.74
7.68,38.06,1020.92,83.87,483.8
8.43,40.69,1020.36,87.28,484.94
21.85,58.33,1013.03,66.39,447.31
30.68,71.25,999.98,68.99,433.47
23.89,70.04,1011.16,84.9,433.71
13.66,41.67,1013.43,80.56,469.17
16.59,41.79,1006.67,73.9,455.42
32.37,67.83,1008.32,57.39,426.76
20.98,60.07,1016.26,67.18,446.26
21.08,52.05,1012.28,45.25,453.4
17.48,49.39,1021.51,84.53,460.01
17.66,62.1,1019.49,86.3,452.03
25.57,66.54,1005.22,83.48,430.92
28.21,70.02,1010.58,51.34,442.47
27.04,69.98,1008.5,75.41,433.25
21.5,50.32,1008.65,81.68,442.71
19.2,59.21,1017.84,89.56,450.86
20.3,56.53,1020.27,76.49,454.12
28.01,64.69,1007.61,58.45,440.23
11.45,41.17,1017.98,84.64,476
24.23,56.89,1012.32,68.04,441.29
15.49,54.3,1017.59,71.26,464.24
25.5,63.91,1009.4,75.22,444.26
28.57,62.26,1010.75,62.12,437.41
13.94,44.84,1023.69,95.3,468.06
26.48,66.54,1011.61,51.9,438.87
29.05,75.6,1017.63,51.16,439.14
10.36,41.46,1017.53,92.04,478.27
27.99,66.91,1008.47,59.63,439.74
28.47,67.69,1004.79,56.51,430.67
26.37,54.5,1014.48,66.31,451.78
32.98,73.88,1006.31,47.55,440.28
28.97,73.5,1010.47,48.24,435.22
6.91,36.08,1021.82,84.31,486.37
22.67,68.08,1013,66.59,443.79
13.45,40.73,1018.7,93.88,461.03
23.22,69.04,1009.65,89.05,448.6
9.05,36.3,1027.44,74.85,479.43
26.94,71.14,1011.63,62.74,434.03
23.79,58.59,1013.94,72.5,443.19
12.89,48.14,1017.48,83.95,463.77
14.46,44.78,1007.64,67.03,459.31
21.22,43.43,1010.96,61.07,448.06
23.36,65.18,1012.35,78.09,436.39
19.64,56.65,1020.79,73.88,456.03
11.91,41.49,1019.69,96.39,470.07
14.03,49.15,1020.5,83.65,467.16
19.2,61.27,1020.02,65.53,455.2
20.58,50.9,1011.89,72.56,452.6
23.87,63.94,1019.02,44.28,445.11
32.42,65.74,1010.97,52.73,439.01
26.13,47.93,1002.81,66.19,441.28
30.54,67.45,1014.37,32.97,431.35
25.31,65.59,1011.16,79.71,440.96
24.82,57.19,1007.82,71.46,439.91
27.83,59.57,1011.22,71.05,443.85
23.47,65.61,1014.57,69.83,447.16
22.17,65.61,1014.71,70.91,449.91
20.12,56.53,1020.34,75.59,454.54
7.19,40.81,1015.22,85.65,487.15
24.35,73.17,1012.2,85.88,435.66
13.94,41.58,1020.76,68.22,463.07
17.54,42.42,1008.97,67.67,471.28
18.63,50.16,1010.21,97.13,450.14
28.36,60.23,1010.05,53.03,441.08
17.46,53.29,1018.07,91.01,458.06
20.59,42.04,1009.78,62.77,463.08
25.41,66.49,1014.06,51.09,449.2
19.13,66.86,1012.95,71.24,453.31
7.41,40.81,1026.15,88.96,488.48
25.07,77.95,1012.87,83,438.55
12.04,43.69,1016.58,80.16,474.97
24.67,61.5,1009.06,72.77,437.37
26.1,66.25,1009.25,84.52,441.53
26.3,51.43,1012.05,63.62,442.28
24.22,71.14,1009.38,64.53,438.88
29.54,72.29,1011,42,443.79
31.42,70.17,999.3,61.22,430.78
16.71,40.55,1004.45,81.64,464.13
31.92,69.13,1000.77,58.91,425.19
21.49,61.27,1019.81,63.21,450.07
21.1,62.66,1011.19,83.49,448.8
13.98,40.71,1022.72,71.83,474.46
25.45,69.59,1008.51,83.17,445.61
12.18,40.1,1016.67,91.87,471.49
27.62,67.51,1012.38,60.25,442.13
9.29,35.77,1015.34,63.29,475.88
29.72,71.97,1008.6,79.25,431.22
10.08,41.16,1023.14,96.03,469.17
16.48,41.35,1005.61,89.07,465.64
23.24,68.31,1009.71,80.8,440.78
19.41,49.39,1020.84,81.89,449.24
19.94,65.46,1017.7,68.94,448.67
29.64,54.2,1013,39.56,438.12
28.87,57.19,1008.09,64.29,435.57
11.5,40.78,1023.91,86.31,467.74
8.02,39.04,1018.49,68.07,479.53
9.27,42.02,1004.29,95.05,474.93
19.39,43.14,1012.75,44.21,464.55
8.36,40.71,1026.34,82.76,487.79
9.27,39.64,1010.79,79.56,480.29
7.92,42.28,1008.55,81.68,484.75
11.22,40.22,1011.01,81.67,476.7
25.03,57.5,1014.96,62.23,449.48
19.27,65.12,1015.63,73.48,449.42
20.27,63.56,1014.24,86.55,446.93
32.77,71.32,1007.68,42.39,436.95
31.9,73.42,1010.82,60.58,432.27
22.07,70.72,1010.52,82.96,442.88
12.64,40.69,1015.86,82.06,474.08
9.11,40.64,1020.68,86.91,476.62
23.26,59.21,1017.71,67.16,442.38
11.98,44.6,1018.59,86.71,470.02
12.59,39.18,1024.18,67.57,471.32
25.79,75.6,1017.46,75.63,434.65
28.63,66.56,1005.88,64.73,427.35
29.65,74.9,1003.22,71.09,433.32
27.76,72.58,1009.04,84.96,429.25
14.08,40.1,1015.48,82.81,469.33
24.31,44.05,1006.16,73.3,442.69
23.28,60.84,1017.91,67.5,444.13
9.06,39.66,1019.64,76.98,479.53
16.96,44.9,1020.5,77.53,458.1
32.32,76.09,1006.63,62.96,432.53
22.35,54.42,1012.46,75.01,454.72
20.28,68.63,1012.42,70.31,454.36
23.64,60.95,1014.92,64.91,447.86
28.5,64.84,1011.47,54.41,441.74
10.03,40.96,1024.57,91.1,478.79
12.61,41.79,1015.82,91.9,461.37
8.91,40.69,1015.11,89.65,481.59
30.24,68.3,1016.21,48.25,431.82
15.64,44.21,1020.17,83.28,462.42
25.57,44.05,1005.79,65.14,443.84
21.96,59.8,1016.72,72.6,452.48
4.96,40.07,1011.8,67.38,494.75
20.31,69.94,1009.7,86.53,446.87
12.68,41.16,1020.09,83.32,464.93
28.74,70.32,1008.15,45.99,431.93
26.61,56.85,1012.48,48.84,437.26
20.76,44.58,1017.09,57.47,462.01
16.37,43.5,1021.26,72.4,459.18
15.6,41.04,1025.48,64.43,457.49
17.65,59.87,1018.58,94.65,450.93
18.87,52.08,1005.25,99.19,449.61
21.09,50.9,1012.42,69.09,456.09
6.06,43.65,1014.36,83.94,480.74
4.97,42.85,1014.02,88.78,482.98
25.45,74.33,1015.53,80.95,435.12
3.63,38.44,1016.16,87.38,487.87
10.48,39.58,1011.81,88.86,472.61
17.45,42.28,1007.64,69.19,463.83
14.22,45.08,1023.26,84.41,466.47
13.85,48.92,1011.68,79.24,462.38
30.98,67.45,1015.18,45.4,433.59
19.53,50.32,1009.71,94.46,449.59
14.31,42.86,1031.14,69.6,465.36
22.58,52.3,1009.04,78.99,445.6
28.46,60.23,1010.2,63.38,439.88
24.95,64.33,1011.34,81.05,440.97
7.38,41.22,1016.47,96.29,485.73
29.04,70.72,1009.55,66.58,437.95
12.73,40.27,1005.68,68.77,475.61
18.07,44.92,1024.72,69.15,457.53
24.6,48.78,1018.1,73.71,442.23
30.51,60.75,1009.86,51,435.57
16.19,36.99,1007.37,92.4,462.94
12.29,42.18,1016.53,83.13,468.75
20.6,60.08,1017.84,75.92,454.39
9.3,38.18,1017.19,71.51,480.14
21.01,60.1,1010.93,78.6,450.99
25.68,68.27,1008.05,68.48,434.89
9.2,40.77,1011.88,89.86,479.82
28.69,71.29,1009.22,68.35,433.07
28.95,73.4,1011.33,55.14,440.67
16.48,48.92,1011.84,64.16,458.67
13.48,40.35,1011.71,69.44,474.72
26.88,69.51,1012.76,45.03,436.3
9.13,40.02,1031.08,74.76,473.47
32.5,73.68,1014.65,55.72,427.63
32.86,66.44,1010.98,44.99,429.32
7.29,39.37,1019.24,73.46,478.19
17.47,43.77,1012.25,76.78,456.41
10.74,52.75,1021.75,75.41,467.48
27.33,73.18,1012.26,82.18,429.38
22.88,50.23,1016.11,63.77,458.08
14.78,42.86,1015.32,84.75,471.17
14.51,42.77,1017.47,81.95,463.37
19.89,44.9,1008.12,67.3,453.09
15.72,41.76,1023.07,66.95,462.19
18.8,44.78,1009.65,46,462.79
20.03,62.26,1012.15,82.54,447.4
31.68,73.68,1014.85,64,431.11
25.1,60.37,1005.83,72.53,438.44
18.88,44.06,1013.81,68.54,451.13
10.1,44.03,1008.11,90.29,471.59
32.23,69.13,1000.61,55.1,426.9
23.73,59.15,1014.08,62.65,444.07
29.51,75.6,1017.92,50.61,431.18
6.44,39.33,1011.8,93.5,490.57
31.41,74.16,1008.65,68.5,430.37
29.97,73.06,1009.41,78.26,430.37
16.74,39.16,1005.68,71.17,460.47
17.2,40.55,1000.68,72.67,462.55
8.75,40.22,1008.96,90.53,482.8
15.24,40,1017.34,65.16,454.64
24.47,75.23,1012.43,75.25,441.07
6.54,39.33,1011.54,93.69,491.16
14.1,42.18,1015.05,78.25,463.3
10.59,41.26,1008.1,98.27,474.76
23.29,49.3,1003.88,74.12,442.11
6.92,43.13,1018.26,89.23,486.36
17.83,43.72,1008.64,78.72,453.86
29.87,69.13,1001.08,72.75,426.47
25.04,65.48,1017.66,57.08,440.92
21.92,61.87,1009.68,58.83,445.52
9.24,41.4,1030.72,87.36,476.9
14.9,52.05,1015.11,77.33,464.82
27.79,71.85,1008.95,87.35,427.67
12.75,44.2,1017.59,81.22,471.03
29.1,73.4,1011.35,57.31,436.85
27.91,63.76,1010.27,65.67,435.21
24.8,66.51,1016.74,65.72,441.34
16.7,36.99,1006.19,89.33,464.7
20.74,59.8,1015.46,76.39,452.99
19.31,67.71,1005.31,77.15,446.23
10.13,38.16,1013.57,79.04,474.92
25.87,63.47,1011.54,65.45,445.87
21.49,70.32,1009.07,92.25,443.04
18.18,44.63,1020.41,48.64,455.57
5.21,41.31,1003.51,91.23,486.46
24.55,57.5,1015.36,62.45,447.3
12.78,44.6,1013.64,77.56,468.67
14.01,39,1016.73,79.23,466.7
8.02,40.23,1017.42,90.26,484.22
23.05,48.98,1015.64,49.33,446.05
3.98,35.47,1017.22,86.53,489.64
21.62,48.78,1020.06,85.09,448.52
23.49,64.63,1020.75,65.16,450.28
9.55,40.67,1018.56,70.72,486.34
21.16,65.48,1016.99,72.79,446.37
19.51,50.16,1010.33,94.37,448.28
31,77.95,1010.14,65.97,431.62
9.45,43.5,1018.89,84.29,476.1
21.98,55.5,1017.89,57.9,457.29
12.42,43.14,1015.88,79.48,471.1
23.64,71.25,1004.92,93.87,442.26
15.01,43.56,1014.65,61.82,465.84
16.58,37.64,1015.23,81.59,460.48
26.31,44.57,1007.51,52.6,452.73
20.36,56.53,1020.25,72.96,455.34
19.15,57.76,1019.62,74.89,458.66
19.32,44.71,1015.3,28.81,464.38
8.46,39.42,1025.05,69.36,474.42
23.8,48.6,1002.43,67.32,440.89
20.45,69.45,1012.53,91.81,441.83
20.6,66.86,1013.08,62.48,451.44
11.28,42.44,1014.62,99.78,473.36
13.8,44.21,1022.93,83.37,468.97
29.53,71.97,1008.6,79.25,434.96
26.12,70.47,1009.93,72.13,434.67
22.25,60.77,1017.8,82.19,444.05
11.85,42.07,1017.92,93.45,467.25
16,43.34,1013.89,78.39,462.33
21.9,55.5,1018.85,60.27,456.52
15.02,41.48,1015.19,58.69,456.04
21.79,61.45,1011.11,91.78,446.99
22.71,48.06,1012.82,67.81,445.1
28.15,70.72,1009.76,73.38,436.19
14.13,53.82,1016.72,64.85,467.08
22.52,66.48,1003.87,78.29,435.02
22.82,69.94,1004.65,73.47,437.32
19.73,56.65,1020.7,69.49,457.46
12.31,44.78,1011.15,77.34,468.29
20.96,69.48,1011.04,82.63,444.31
15.9,41.35,1006.28,78.2,464.03
17.14,44.2,1018.91,62.18,457.02
33.59,79.05,1007.79,63.55,436.51
27.07,66.93,1017.32,55.38,446.48
17.12,49.5,1014.79,87.03,463.39
6.25,39.48,1004.82,52.71,484.26
19.44,39.53,1006.99,63.18,457.09
22.2,57.17,1009.82,78.43,447.75
14.09,41.2,1016.45,67.27,472.42
28.57,69.34,1007.98,65.55,439.46
17.45,49.64,1026.4,66.67,454.67
8.7,36.24,1013.34,89.5,478.69
26.55,69.45,1013.92,52.22,434.55
17.17,63.09,1020.54,95.98,446.75
10.52,41.78,1013.54,71.52,474.58
13.86,40.83,1008.76,82.4,470.37
29.72,74.78,1009.32,55.25,438.19
18.12,50.16,1009.82,100.09,453.29
24.46,68.61,1011.02,76.66,440.58
24.26,68.14,1005.09,59.49,438.79
8.95,43.56,1015.04,81.53,485.21
29.15,73.42,1011.43,66.49,432.26
16.13,43.48,1014.41,50.05,459.47
24.67,70.94,1007.99,75.64,443.51
22.93,62.26,1011.25,83.66,438.34
30.57,58.9,1004.54,54.37,438.49
22.49,58.71,1009.75,76.43,443.33
28.09,63.31,1013.01,52.6,438.6
25.03,59.21,1017.28,56.96,446.33
21.12,63.91,1009.33,96.14,447.64
4.41,42.07,1005.54,68.85,488.36
25.96,71.64,1003.84,86.83,432.93
20.36,65.27,1011.73,70.8,445.67
19.07,44.63,1020.23,44.93,456.37
19.31,44.71,1016.13,30.59,463
25.63,69.89,1015.17,77.42,434.47
18.44,39.72,1001.14,66.83,460.44
17.19,37.2,1011.84,67.59,468.4
14.54,41.16,1000,81.34,463.9
30.16,69.34,1007.67,57.69,433.54
15,50.88,1014.04,100.12,459.37
15.34,41.96,1012.08,100.12,468.33
25.64,50.05,1006.97,67.72,440.86
32.1,69.98,1013.31,55.84,431.09
10.36,43.67,1011.95,78.15,477.23
11.57,39.72,1002.26,78.69,474.72
5.21,35.79,1012.44,94.35,485.17
9.65,44.68,1022.9,98.08,476.71
8.51,39.96,1026.34,96.1,475.96
10.94,25.36,1009.47,100.1,470.9
28.77,58.33,1013.73,36.6,448.06
13.83,38.73,999.62,91.95,469.81
27.57,60.07,1016.52,54.75,440.12
10.13,39.18,1024.09,85.48,479.42
13.7,34.03,1018.82,69.07,470.2
25.55,71.64,1009.09,79.35,439.37
8.3,36.08,1020.63,80.42,481.6
26.76,49.02,1007.96,70.05,439.4
7.26,40.69,1020.43,90.22,474.91
18.27,65.94,1013.09,84.72,450.33
26.9,60.93,1007.1,67.32,435.87
28.18,71.14,1011.56,48.03,432.72
10.11,42.49,1010.22,82.11,483.56
22.29,45.01,1012.4,51.58,449.08
8.87,41.16,1023.17,94.13,472.45
12.75,39.85,1012.51,62.37,475.61
15.31,41.35,1005.09,95.25,466.5
27.23,66.48,1005.23,52.38,432.55
10.01,41.17,1018.78,86.84,479.4
23.56,51.86,1014.04,73.9,448.04
6.76,36.25,1028.31,91.16,484.36
3.92,41.31,999.22,95.26,487.35
5.46,40.81,1025.73,93.52,474.87
27.26,73.18,1012.58,74.83,429.92
15.8,41.1,1003,77.36,465.87
23.93,64.05,1013.09,86.02,440.66
9.05,40.67,1015.57,75.48,486.55
14.41,40.71,1016.78,69.77,467.01
28.06,68.24,1010.27,69.72,429.47
18.76,52.9,1016.27,64.7,458.26
25.78,59.15,1013.61,66.68,441.71
22.33,71.94,1011.06,82.85,441.85
27.13,59.54,1004.33,73.27,438.32
12.45,43.67,1013.61,91.34,474.27
18.83,63.91,1010.8,96.18,448.15
17.79,46.21,1010.38,85.25,448.74
30.61,69.13,1009.32,55.17,429.1
28.88,54.89,1007.16,46.6,440.99
24.62,72.43,1007.97,84.36,436.89
8.84,42.49,1010.28,89.09,481.58
24.21,70.98,1007.02,95.57,441.78
24.18,59.92,1009.88,79.54,438.85
19.1,43.79,1016.02,77.34,462.28
9.54,41.17,1019.79,65.61,481.18
11.18,39.61,1018.56,68,468.75
11.28,43.41,1017.91,81.03,471.42
25.89,48.41,1008.49,68.58,440.92
18.38,62.1,1020.12,77.27,452.91
15.75,36.99,1007.67,93.8,464.38
10.25,37.14,1013.14,70.73,474.37
24.22,49.82,1014.61,66.82,452.2
8.51,38.5,1013.33,64.28,482.39
20.82,52.84,1004.13,79.42,449.59
22.97,63.94,1010.5,88.47,440.81
8.32,39.64,1010.93,78.21,479.69
15.69,39.3,1019.03,60.57,464.17
8.83,36.3,1027.08,72.69,479.86
33.2,73.88,1005.67,48.48,438.12
24.01,65.18,1012.57,76.02,437.27
21.8,51.3,1012.07,89.51,450.25
26.62,72.43,1006.79,82.74,430.22
9.42,41.4,1029.21,86.4,474.75
21.96,71.85,1009.38,75.98,441.52
10.26,43.14,1019.68,98.97,466.75
27.01,63.78,1016.72,47.89,442.6
31.37,74.87,1009.22,56.58,436.16
13.86,41.58,1020.69,70.74,461.56
26.2,71.14,1007.92,72.95,431.7
6.72,39.85,1011.84,84.66,489.09
14.27,44.34,1018.95,71.44,470.98
26.71,68.3,1015.07,62.7,436.66
25.53,59.57,1010.65,82.04,445.59
32.22,70.8,1009.9,62.03,433.07
4.56,40.27,1011.13,80.24,493.87
24.98,60.32,1016.39,63.12,446.46
14.66,43.13,1014.97,46.31,467.87
9.42,39.64,1010.86,74.03,478.05
7.92,41.66,1014.84,76.12,483.38
33.5,70.8,1008.99,57.24,433.19
12.79,44.03,1007.46,95.93,464.35
18.77,52.08,1004.02,99.86,449.62
18.34,44.63,1000.76,89.27,455.22
8.2,41.14,1025.24,96.26,474.04
13.18,40.24,1016.81,86.71,469.35
11.02,39.96,1025.64,93.58,467.41
22.49,56.9,1007.65,63.34,449.64
28.86,73.67,1006.65,68.23,431.15
13.94,42.86,1012.35,88.78,471.64
24.36,68.61,1010.27,63.78,448.71
21.43,59.14,1015.91,64.4,448.51
15.56,41.04,1025.8,64.81,457.11
24.35,51.86,1014.34,67.22,442.81
26.06,65.34,1014.07,57.63,444.55
24.16,60.29,1018.09,63.49,446.17
19.78,63.09,1019.01,78.39,448.34
11,40.23,1019.08,86.5,475.9
14.87,42.77,1017.94,75.06,462.03
27.96,49.16,1004.8,35.64,442.49
12.22,40.78,1024.02,85.46,464.12
26.85,75.6,1017.43,74.55,433.48
24.27,74.99,1007.73,82.49,438.26
26.38,44.89,1009.14,51.79,442.13
8.72,36.25,1029.31,85.73,479.94
11.23,41.17,1019.36,56.85,475.85
11.52,40.03,1017.56,87.87,472.31
15.84,41.66,1009.69,62.81,465.5
22.98,51.95,1006.83,74.92,454.63
28.08,59.14,1016.16,58.08,438.83
15.87,45,1021.92,40,470.85
14.89,35.71,1015.1,55.11,469.37
26.49,67.69,1004.61,78.13,430.62
25.82,61.08,1013.64,66.4,448.46
24.94,62.96,1019.76,58.44,443.48
25.98,73.18,1012.28,85.78,439.73
22.6,69.84,1006.37,79.59,435.13
30.13,68.94,1005.88,40.71,441.78
24.67,68.14,1004.96,58.15,438.4
15.99,49.21,1015.17,76.4,463.47
27.44,52.3,1008.15,58.92,441.75
13.11,41.44,1015.55,74.45,471.61
5.02,45.87,1007.8,99.22,481.03
11.47,43.67,1012.68,72.51,475.72
15.46,44.6,1017.7,68.2,459.62
13.42,42.86,1013.88,85.13,473.27
18.99,62.1,1020,76.76,453.09
26.26,71.73,1009.59,80.06,430.79
27.77,63.9,1013.62,51.43,441.3
25.42,69.71,1009.29,82.5,435.59
18.58,64.45,1009.68,67.57,444.28
24.2,64.33,1011.15,84.23,442.78
24.91,71.29,1008.29,69.06,437.03
18.38,55.28,1020.22,68.33,451.29
24.79,50.78,1008.78,61.88,445.3
26.34,59.21,1013.37,58.98,439.22
23.48,49.16,1002.7,70.22,445.72
9,41.54,1018.83,79.61,484.08
28.07,74.33,1012,71.69,428.87
12.07,40.81,1025.63,68.02,475.96
24.48,64.45,1014.69,51.43,452.82
30.76,73.17,1009.89,50.43,430.98
12.69,40.75,1016.05,82.92,472.68
24.51,68.63,1014.15,45.1,447.66
11.09,41.58,1020.99,91.09,464.81
23.55,61.87,1009.65,54.83,443.54
30.96,69.82,1009.6,51.55,438.74
10.12,38.38,1018.22,85.93,477.73
14.1,44.84,1025.09,79.42,468.22
20.18,56.53,1020.3,77.1,454.14
25.03,60.27,1017.9,72.04,438.24
9.08,36.18,1020.24,68.37,477.26
26.17,70.47,1010.25,68.96,434.56
25.33,73.21,1002.19,97.24,433.43
26.39,66.05,1018.24,61.27,442.22
24.79,67.83,1009.32,61.46,438.36
14.3,41.93,1020.6,65.38,471.32
28.08,73.42,1012.17,62.74,434
13.52,42.07,1017.91,90.21,464.07
11.2,37.5,1013.81,72.81,472.2
27.22,66.48,1004.59,52.66,436.06
14.09,45.87,1009.05,84.09,465.6
14.26,44.2,1019.81,76.46,462.87
21.37,57.76,1018.8,70.12,454.66
21.97,58.12,1015.29,77.47,449.6
11.11,40.55,1023.91,87.12,476.37
22.91,60.07,1016.03,59.72,446.19
26.39,49.02,1007.62,70.82,438.53
28.68,70.72,1009.43,71.33,435.45
22.86,47.43,1009.75,61.54,452.53
31.5,70.32,1011.44,64.09,435.13
12.88,42.74,1026.25,74.54,470.89
22.11,59.8,1016.86,70.14,450.62
29.26,67.17,1006.6,70.58,436.42
16.52,43.7,1015.08,58.36,466.73
7.47,40.07,1015.45,50.3,489.59
25.32,54.5,1015.5,68.17,451.52
26.53,54.2,1012.9,66.73,439.96
28.37,63.31,1013.18,49.02,437.64
33.58,77.54,1010.19,53.49,433.75
34.35,77.17,1009.26,59.33,437.65
7.94,40.56,1023.25,80.84,488.01
30.96,71.77,1006.26,52.76,425.66
26.11,73.17,1009.8,65.18,434.94
5.28,45.87,1008.25,97.88,479.91
9.42,41.4,1029.6,87.43,478.12
17.53,44.9,1020.5,71.1,457.61
29.45,69.13,1009.3,52.97,432.04
23.62,49.21,1014.1,49.54,443.53
15.04,38.01,1022.46,78.29,468.12
10.44,39.04,1023.99,85.03,480.34
16.58,43.99,1021.81,79.29,458.67
24.35,58.79,1010.13,72.1,448.19
14.12,41.39,1018.73,76.51,472.88
25.72,70.47,1010.44,70.57,434.94
23.83,50.32,1008.41,72.23,445.17
19.54,44.57,1007.19,78.93,450.54
30.83,77.3,1001.7,57.85,435.87
15.98,44.68,1018.48,85.94,462.77
14.26,42.32,1016,77.43,463.71
13.34,41.79,1011.48,86.66,461.12
32.87,71.32,1004.36,54.69,433.15
