"V1","V2","V4","V5","V6","y"
45.82,50.747,2.574,2.141,1.014,4.558
32.67,47.536,3.223,2.773,0.881,4.403
0,0,4.092,2.12,0.53,5.389
63.87,6.249,0.198,1.975,0.858,5.47
0,14.96,2.026,1.265,0.722,3.577
90.51,65.67,-0.759,1.929,1.402,4.107
0,0,4.063,1.975,0.499,4.83
50.94,76.132,4.013,3.218,1.104,5.02
0,0,2.226,1.509,0.826,2.608
47.36,21.135,0.18,1.627,1.051,2.188
0,0,2.942,1.989,1.063,4.502
110.96,13.843,1.321,2.402,0.988,7.128
104.06,189.34,1.929,3.197,1.021,4.187
0,0,2.746,1.667,1.4,3.809
54.57,41.028,4.789,3.58,1.505,5.512
65.82,80.765,3.692,3.883,1.087,6.756
0,0,4.332,2.727,0.758,6.7
9.23,11,2.723,2.321,1.165,7.337
57.53,110.512,3.31,3.267,1.169,4.535
54.74,39.247,3.115,2.706,0.946,6.075
35.25,43.897,1.246,2.056,1.081,5.571
165.15,185.897,0.575,2.608,1.809,3.85
20.23,42.683,2.274,2.005,1.596,3.115
17.07,25.145,1.442,1.84,1.58,4.039
26.02,32.897,0.202,1.334,1.347,3.133
54.57,41.028,5.65,4.026,1.575,7.1
41.13,61.166,3.988,3.169,0.627,7.478
0,0,5.453,2.837,0.735,6.858
86.81,121.412,0.709,2.938,1.416,2.958
0,0,4.823,2.299,1.6,5.299
55.05,61.747,4.296,3.055,0.603,5.878
49.33,85.839,3.988,3.047,0.694,4.121
57.28,71.694,2.124,3.455,1.069,4.305
20.23,42.683,2.461,1.975,0.737,4.852
17.07,25.145,4.912,2.659,0.491,6.394
43.09,58.042,-0.38,1.401,1.151,2.649
115.47,84.479,0.038,2.278,0.544,4.006
97.99,195.878,-1.204,2.214,1.066,3.177
26.3,81.025,5.4,3.936,0.991,8.112
28.24,0,3.876,2.614,0.652,5.597
20.23,42.683,1.506,1.857,0.853,3.85
115.41,71.512,2.223,2.903,1.295,8.15
52.6,72.29,2.577,2.707,1.313,3.603
38.57,6.249,0.59,1.7,1.19,2.232
59.32,78.204,4.794,3.99,0.645,9.945
0,0,1.672,1.225,0.562,3.28
137.46,152.241,2.359,2.527,0.825,4.39
29.46,53.683,3.842,2.887,0.614,6.109
12.89,16.786,1.533,2.056,1.203,3.481
52.6,72.29,6.338,4.16,1.402,6.194
38.69,64.683,0.224,2.108,1.904,1.888
35.25,43.897,1.246,2.031,1.081,4.011
52.6,72.29,2.005,2.468,1.281,3.77
45.82,50.747,3.11,2.16,0.478,4.66
81.95,157.061,1.358,3.325,1.248,3.277
52.6,72.29,3.618,3.197,1.356,4.878
0,0,5.989,2.712,0.529,6.99
59.32,78.204,3.907,3.934,0.908,9.063
86.71,27.185,2.06,2.394,1.088,6.579
34.14,50.29,1.415,2.074,1.108,5.001
54.57,41.028,3.742,3.136,1.773,6.042
181.62,324.873,-0.875,3.595,0.945,6.43
20.23,42.683,3.617,2.074,0.34,6.11
0,0,2.081,1.401,0.501,3.485
0,0,2.942,1.924,1.063,3.524
12.03,18.011,0.817,1.8,1.488,3.93
29.54,39.269,3.026,2.828,1.243,4.339
35.53,47.145,4.579,3.875,0.927,8.067
12.89,16.786,2.66,2.408,0.976,3.618
87.43,55.411,-1.222,1.575,1.362,6.618
12.03,18.011,6.728,4.392,1.554,6.537
17.07,25.145,0.202,1.225,1.66,0.673
20.31,28.269,0.198,1.782,1.559,4.906
86.52,117.437,2.031,2.679,1.198,6.447
111.87,144.177,1.748,2.377,0.839,4.79
12.53,11,1.533,2.274,1.026,4.018
56.15,36.022,1.945,2.461,0.805,3.351
67.51,103.973,3.204,3.344,0.938,2.955
20.23,42.683,3.127,2.57,0.797,5.38
24.06,35.776,3.326,2.837,0.849,4.651
0,0,3.259,1.975,1.111,4.53
0,0,3.516,1.678,1.667,4.34
26.02,32.897,1.506,1.857,0.815,5.371
92.14,107.097,4.275,4.174,1.174,4.112
66.05,93.43,1.348,2.09,0.784,4.024
58.2,116.232,3.508,3.281,0.803,7.802
102.78,20.263,3.322,2.901,0.874,7.676
95.96,6.249,0.454,2.072,0.8,4.858
45.61,28.269,3.012,2.557,0.901,6.458
56.15,36.022,1.971,2.472,1.144,3.52
20.23,42.683,3.314,2.027,0.409,5.461
0,0,1.817,1.334,0.718,2.49
45.61,28.269,1.579,2.397,1.162,4.437
